"","Brand","Price..INR.","Mileage","Seating.Capacity","Vehicle.Type","Fuel.Type","Transmission","Parking.Sensor","Airbag","Cruise.Control","Keyless.Entry","Alloy.wheels","ABS","Climate.Control","Rear.AC.Vent","Power.Steering","cluster","name"
"394","Maruti",685991,16.02,7,"MUV","Petrol","Manual","No","No","No","Yes","No","Yes","No","Yes","Yes",2,"Maruti Ertiga VXI ABS"
"395","Maruti",737991,22.8,7,"MUV","CNG","Manual","No","No","No","Yes","No","No","No","Yes","Yes",2,"Maruti Ertiga VXI CNG"
"396","Maruti",746116,20.77,7,"MUV","Diesel","Manual","No","No","No","No","No","Yes","No","No","Yes",2,"Maruti Ertiga LDI"
"397","Maruti",758991,16.02,7,"MUV","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",2,"Maruti Ertiga ZXI"
"398","Maruti",811116,20.77,7,"MUV","Diesel","Manual","No","No","No","Yes","No","No","No","Yes","Yes",2,"Maruti Ertiga VDI"
"399","Maruti",877116,20.77,7,"MUV","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",2,"Maruti Ertiga ZDI"
"400","Fiat",599000,14.9,5,"Sedan","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Fiat Linea Classic 1.4 Petrol"
"401","Fiat",695976,19.5,5,"Sedan","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",3,"Fiat Linea Classic 1.3 Multijet"
"402","Fiat",750976,19.5,5,"Sedan","Diesel","Manual","No","No","No","No","No","Yes","No","No","Yes",3,"Fiat Linea Classic Plus 1.3 Multijet"
"403","Mahindra",599748,17.21,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Mahindra Quanto C2"
"404","Mahindra",713944,17.21,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Mahindra Quanto C4"
"405","Mahindra",759619,17.21,7,"SUV","Diesel","Manual","No","No","No","No","No","Yes","No","No","Yes",2,"Mahindra Quanto C6"
"406","Mahindra",809544,17.21,7,"SUV","Diesel","Manual","Yes","Yes","No","No","Yes","Yes","No","No","Yes",2,"Mahindra Quanto C8"
"407","ICML",617728,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"ICML Extreme LD DI Non Ac 9Seater BSIII"
"408","ICML",693175,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"ICML Extreme LD CRDFi Non AC 9Seater BSIV"
"409","ICML",716802,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"ICML Extreme LD DI PS AC 9Seater BSIII"
"410","ICML",763427,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"ICML Extreme LD CRDFi PS AC 9Seater BSIII"
"411","ICML",766702,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme SD DI 9Seater BSIII"
"412","ICML",792248,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"ICML Extreme LD CRDFi PS AC 9Seater BSIV"
"413","ICML",810525,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme SD CRDFi 9Seater BSIII"
"414","ICML",822216,11.12,7,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme VD DI 7Seater BSIII"
"415","ICML",839525,11.12,9,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme SD CRDFi 9Seater BSIV"
"416","ICML",876217,11.12,7,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme VD CRDFi 7Seater BSIII"
"417","ICML",902939,11.12,7,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"ICML Extreme VD CRDFi 7Seater BSIV"
"418","Fod",619859,16.15,5,"SUV","Petrol","Manual","No","No","No","No","No","No","No","No","Yes",3,"Ford Ecosport 1.5 Ti VCT MT Ambiente"
"419","Fod",714849,16.15,5,"SUV","Petrol","Manual","No","No","No","No","No","Yes","No","No","Yes",3,"Ford Ecosport 1.5 Ti VCT MT Trend"
"420","Fod",738859,22.7,5,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",3,"Ford Ecosport 1.5 DV5 MT Ambiente"
"421","Fod",810849,16.15,5,"SUV","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.5 Ti VCT MT Titanium"
"422","Fod",825849,22.7,5,"SUV","Diesel","Manual","No","No","No","No","No","Yes","No","No","Yes",3,"Ford Ecosport 1.5 DV5 MT Trend"
"423","Fod",850849,18.9,5,"SUV","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.0 Ecoboost Titanium"
"424","Fod",903849,18.9,5,"SUV","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.0 Ecoboost Titanium Optional"
"425","Fod",904849,16.15,5,"SUV","Petrol","Automatic","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.5 Ti VCT AT Titanium"
"426","Fod",921849,22.7,5,"SUV","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.5 DV5 MT Titanium"
"427","Fod",974849,22.7,5,"SUV","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Ford Ecosport 1.5 DV5 MT Titanium Optional"
"428","Force",625000,17,6,"SUV","Diesel","Manual","No","No","No","No","Yes","No","No","No","Yes",3,"Force Gurkha Soft Top BS3 2WD"
"429","Force",835000,17,6,"SUV","Diesel","Manual","No","No","No","No","Yes","No","No","No","Yes",3,"Force Gurkha Soft Top BS3 4WD"
"430","Force",850000,17,5,"SUV","Diesel","Manual","No","No","No","No","Yes","No","No","No","Yes",3,"Force Gurkha Hard Top BS3 4WD"
"431","Nissan",629966,16.95,5,"Sedan","Petrol","Manual","No","Yes","No","No","No","Yes","No","No","Yes",3,"Nissan Sunny XE"
"432","Nissan",740197,16.95,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Nissan Sunny XL"
"433","Nissan",819595,16.95,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","No","Yes",3,"Nissan Sunny XV"
"434","Nissan",848471,21.64,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Nissan Sunny Diesel XL"
"435","Nissan",864638,17.97,5,"Sedan","Petrol","Automatic","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3,"Nissan Sunny XL AT"
"436","Nissan",930432,21.64,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","No","Yes",3,"Nissan Sunny Diesel XV"
"437","Nissan",986725,21.64,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Nissan Sunny Diesel Special Edition"
"438","Mahindra",644527,100,4,"Hatchback","Electric","Automatic","Yes","No","No","Yes","No","No","No","No","Yes",3,"Mahindra e2o T0"
"439","Mahindra",675068,100,4,"Hatchback","Electric","Automatic","Yes","No","No","Yes","No","No","No","No","Yes",3,"Mahindra e2o T2"
"440","Tata",705137,13.55,8,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"Tata Sumo Grande MKII EX Turbo BSIII"
"441","Tata",792409,13.55,7,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Tata Sumo Grande MKII LX"
"442","Tata",835278,13.55,7,"MUV","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"Tata Sumo Grande MKII EX"
"443","Tata",907782,13.55,7,"MUV","Diesel","Manual","No","No","No","Yes","No","No","No","Yes","Yes",2,"Tata Sumo Grande MKII GX"
"444","Fiat",712302,14.6,5,"Sedan","Petrol","Manual","No","No","No","Yes","No","No","No","Yes","Yes",3,"Fiat Linea Active"
"445","Fiat",766756,15.7,5,"Sedan","Petrol","Manual","No","No","No","Yes","No","No","No","Yes","Yes",3,"Fiat Linea T Jet Active"
"446","Fiat",812454,14.6,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Fiat Linea Dynamic"
"447","Fiat",815814,20.4,5,"Sedan","Diesel","Manual","No","No","No","Yes","No","No","No","Yes","Yes",3,"Fiat Linea Active (Diesel)"
"448","Fiat",849792,15.7,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,"Fiat Linea T Jet Dynamic"
"449","Fiat",886954,15.7,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,"Fiat Linea T Jet Emotion"
"450","Fiat",919058,20.4,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,"Fiat Linea Dynamic (Diesel)"
"451","Fiat",955181,20.4,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,"Fiat Linea Emotion (Diesel)"
"452","Tata",720264,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Tata Winger Standard Flat Roof (Non AC)"
"453","Tata",720264,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Tata Winger Deluxe Hi Roof (Non AC)"
"454","Tata",720264,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Tata Winger Deluxe Flat Roof (Non AC)"
"455","Tata",756365,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"Tata Winger Luxury Flat Roof (AC)"
"456","Tata",756365,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"Tata Winger Deluxe Hi Roof (AC)"
"457","Tata",756365,10.71,10,"Minivans","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",2,"Tata Winger Deluxe Flat Roof (AC)"
